Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S47-A07,7wImac89,Unknown,1,B2M,Test,10.5754858723487,1,Pass,0.0139966567593099,81.200119470518,999,1,
S47-A08,7wImac89,Unknown,1,PDL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A09,7wImac89,Unknown,1,CXCL9,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A10,7wImac89,Unknown,1,IL1B,Test,17.4040063420704,1,Pass,0.0139966567593099,79.592454150467,999,1,
S47-A11,7wImac89,Unknown,1,MDK,Test,18.2601014916961,1,Pass,0.0139966567593099,80.7132021877869,999,1,
S47-A12,7wImac89,Unknown,1,TLR4,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A13,7wImac89,Unknown,1,CCL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A14,7wImac89,Unknown,1,CD40,Test,19.7587057672531,0,Fail,0.0139966567593099,999,73.606808954354,0,
S47-A15,7wImac89,Unknown,1,F4-80,Test,19.7852645044929,1,Pass,0.0139966567593099,81.9847285174637,999,1,
S47-A16,7wImac89,Unknown,1,IL6,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A17,7wImac89,Unknown,1,PDPN,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A18,7wImac89,Unknown,1,TPP1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A19,7wImac89,Unknown,1,CCL2,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A20,7wImac89,Unknown,1,CD74,Test,8.44071260572103,1,Pass,0.0139966567593099,80.6447539843201,999,1,
S47-A21,7wImac89,Unknown,1,FCGR3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A22,7wImac89,Unknown,1,ITGAM,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A23,7wImac89,Unknown,1,PROX1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A24,7wImac89,Unknown,1,VEGFC,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A25,7wImac89,Unknown,1,CCL21A,Test,15.9105670244625,1,Pass,0.0139966567593099,77.9701310123471,999,1,
S47-A26,7wImac89,Unknown,1,CD80,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A27,7wImac89,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A28,7wImac89,Unknown,1,ITGAX,Test,14.6647116327057,1,Pass,0.0139966567593099,80.1484807000855,999,1,
S47-A29,7wImac89,Unknown,1,S1PR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A30,7wImac89,Unknown,1,XCR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A31,7wImac89,Unknown,1,CCL22,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A32,7wImac89,Unknown,1,CD86,Test,18.6251078549687,1,Pass,0.0139966567593099,80.1602961997939,999,1,
S47-A33,7wImac89,Unknown,1,H2-AA,Test,8.33735653240116,1,Pass,0.0139966567593099,84.6857008930613,999,1,
S47-A34,7wImac89,Unknown,1,LAMP2,Test,15.0906114455989,1,Pass,0.0139966567593099,81.9055220480086,999,1,
S47-A35,7wImac89,Unknown,1,SELENOP,Test,13.8316490801802,1,Pass,0.0139966567593099,80.9383915292398,999,1,
S47-A36,7wImac89,Unknown,1,blank1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A37,7wImac89,Unknown,1,CCR7,Test,18.1937478719021,1,Pass,0.0139966567593099,81.8295056521888,999,1,
S47-A38,7wImac89,Unknown,1,CSF1R,Test,12.0120539304084,1,Pass,0.0139966567593099,82.0604080428976,999,1,
S47-A39,7wImac89,Unknown,1,H2-DMA,Test,14.179556130775,1,Pass,0.0139966567593099,82.9909792019422,999,1,
S47-A40,7wImac89,Unknown,1,LY6G,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A41,7wImac89,Unknown,1,SGPL1,Test,17.0955952022806,1,Pass,0.0139966567593099,83.206548873098,999,1,
S47-A42,7wImac89,Unknown,1,blank2,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A43,7wImac89,Unknown,1,CD14,Test,17.6647522761214,1,Pass,0.0139966567593099,83.3955612476583,999,1,
S47-A44,7wImac89,Unknown,1,CTSD,Test,18.8749858871288,1,Pass,0.0139966567593099,82.2166458674374,999,1,
S47-A45,7wImac89,Unknown,1,IL10,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A46,7wImac89,Unknown,1,LY75,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A47,7wImac89,Unknown,1,SPHK1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S47-A48,7wImac89,Unknown,1,blank3,Test,999,0,Fail,0.0139966567593099,999,999,0,
